BBL,Year,Zip,count,Zop
1001640032,21,10013,1,10013
1001670001,10,10013,4,10013
1001670001,12,10013,1,10013
1001670001,18,10013,1,10013
1001670001,21,10013,2,10013
1001680032,17,10013,1,10013
1001680032,18,10013,1,10013
1001690010,10,10013,1,10013
1001700006,14,10013,1,10013
1001700020,19,10013,1,10013
1001700020,20,10013,4,10013
1001710005,11,10013,1,10013
1001710031,17,10013,1,10013
1001717501,11,10013,1,10013
1001720001,20,10013,2,10013
1001720003,11,10013,1,10013
1001720005,11,10013,1,10013
1001727504,15,10013,1,10013
1001727504,20,10013,1,10013
1001727505,11,10013,1,10013
1001737501,21,10013,2,10013
1001737504,20,10013,1,10013
1001740001,14,10013,1,10013
1001740004,14,10013,1,10013
1001740011,19,10013,1,10013
1001740028,10,10013,1,10013
1001740028,19,10013,1,10013
1001740028,21,10013,2,10013
1001740031,10,10013,1,10013
1001747501,18,10013,1,10013
1001747505,21,10013,2,10013
1001760014,11,10013,1,10013
1001780004,12,10013,1,10013
1001780021,15,10013,1,10013
1001780021,16,10013,2,10013
1001780021,19,10013,1,10013
1001780021,21,10013,1,10013
1001780025,19,10013,1,10013
1001790001,20,10013,1,10013
1001790011,21,10013,1,10013
1001790013,19,10013,1,10013
1001790050,14,10013,1,10013
1001790061,14,10013,1,10013
1001797501,15,10013,2,10013
1001797503,17,10013,1,10013
1001797506,20,10013,1,10013
1001800012,15,10013,1,10013
1001800012,21,10013,5,10013
1001800014,12,10013,2,10013
1001800014,21,10013,5,10013
1001800015,13,10013,9,10013
1001800015,14,10013,1,10013
1001800015,15,10013,2,10013
1001800015,16,10013,2,10013
1001800017,13,10013,1,10013
1001800025,16,10013,1,10013
1001807502,15,10013,1,10013
1001807502,21,10013,1,10013
1001807503,21,10013,1,10013
1001807505,21,10013,2,10013
1001807508,21,10013,2,10013
1001807513,21,10013,1,10013
1001817501,19,10013,3,10013
1001860001,13,10013,3,10013
1001870025,20,10013,1,10013
1001877501,21,10013,1,10013
1001887501,13,10013,1,10013
1001887502,10,10013,1,10013
1001887502,11,10013,1,10013
1001887502,13,10013,4,10013
1001887502,14,10013,1,10013
1001887502,15,10013,2,10013
1001887502,19,10013,1,10013
1001887504,20,10013,1,10013
1001890007,13,10013,1,10013
1001890007,15,10013,1,10013
1001890020,20,10013,1,10013
1001890022,20,10013,6,10013
1001890028,12,10013,1,10013
1001890028,13,10013,2,10013
1001890028,14,10013,4,10013
1001890028,15,10013,1,10013
1001890030,20,10013,1,10013
1001890034,17,10013,1,10013
1001890035,17,10013,2,10013
1001890041,14,10013,1,10013
1001897501,16,10013,1,10013
1001900037,12,10013,1,10013
1001900037,15,10013,1,10013
1001907504,17,10013,1,10013
1001907505,20,10013,2,10013
1001910001,20,10013,1,10013
1001910017,18,10013,1,10013
1001910018,20,10013,1,10013
1001930010,17,10013,1,10013
1001930025,12,10013,3,10013
1001930026,12,10013,7,10013
1001930050,19,10013,1,10013
1001947502,12,10013,1,10013
1001947503,12,10013,2,10013
1001950007,15,10013,1,10013
1001950021,15,10013,1,10013
1001950024,13,10013,1,10013
1001970017,13,10013,1,10013
1001970017,14,10013,1,10013
1001970017,15,10013,1,10013
1001977501,19,10013,1,10013
1001977502,17,10013,1,10013
1001977502,18,10013,2,10013
1001980001,21,10013,1,10013
1001980030,19,10013,1,10013
1001990001,12,10013,1,10013
1001990002,10,10013,1,10013
1001990003,17,10013,2,10013
1001990003,18,10013,1,10013
1001990018,13,10013,2,10013
1001990023,19,10013,2,10013
1001990023,20,10013,2,10013
1001990030,21,10013,1,10013
1001990031,14,10013,1,10013
1001990032,13,10013,1,10013
1001990032,14,10013,5,10013
1001990032,15,10013,1,10013
1001990032,16,10013,1,10013
1001990032,17,10013,1,10013
1002000006,11,10013,1,10013
1002000017,10,10013,1,10013
1002000024,14,10013,1,10013
1002000024,18,10013,1,10013
1002000030,19,10013,4,10013
1002000033,17,10013,1,10013
1002000033,18,10013,3,10013
1002000033,19,10013,1,10013
1002010001,11,10013,1,10013
1002010020,16,10013,1,10013
1002027501,16,10013,1,10013
1002030002,19,10013,1,10013
1002030015,11,10013,1,10013
1002030015,16,10013,1,10013
1002040004,13,10013,1,10013
1002050007,21,10013,1,10013
1002050010,15,10013,3,10013
1002050018,18,10013,2,10013
1002050024,15,10013,1,10013
1002060001,13,10013,1,10013
1002060001,21,10013,1,10013
1002060012,21,10013,3,10013
1002060017,14,10013,1,10013
1002060022,10,10013,1,10013
1002060023,20,10013,1,10013
1002060031,19,10013,1,10013
1002067501,17,10013,1,10013
1002067501,21,10013,2,10013
1002070013,19,10013,1,10013
1002090001,19,10013,1,10013
1002090012,15,10013,1,10013
1002100007,18,10013,1,10013
1002100010,12,10013,1,10013
1002100017,19,10013,1,10013
1002100019,12,10013,2,10013
1002100020,12,10013,2,10013
1002100020,14,10013,1,10013
1002100021,16,10013,1,10013
1002107501,16,10013,1,10013
1002107501,18,10013,2,10013
1002120018,19,10013,1,10013
1002120070,15,10013,1,10013
1002120070,17,10013,1,10013
1002140001,13,10013,3,10013
1002140002,13,10013,1,10013
1002140002,14,10013,4,10013
1002140002,16,10013,1,10013
1002140002,19,10013,1,10013
1002140003,16,10013,1,10013
1002140004,13,10013,2,10013
1002140004,14,10013,1,10013
1002140004,16,10013,1,10013
1002140006,13,10013,3,10013
1002140006,14,10013,1,10013
1002140006,16,10013,1,10013
1002140006,17,10013,1,10013
1002140010,13,10013,1,10013
1002140026,13,10013,1,10013
1002147503,10,10013,3,10013
