"BBL","Borough","Incident Zip","Year","count"
5001990043,"STATEN ISLAND",10310,"18",1
5001990043,"STATEN ISLAND",10310,"21",1
5001990067,"STATEN ISLAND",10310,"14",1
5001990067,"STATEN ISLAND",10310,"16",1
5002000015,"STATEN ISLAND",10310,"14",1
5002000015,"STATEN ISLAND",10310,"16",1
5002000015,"STATEN ISLAND",10310,"19",1
5002000015,"STATEN ISLAND",10310,"20",1
5002000018,"STATEN ISLAND",10310,"16",1
5002000023,"STATEN ISLAND",10310,"18",1
5002010038,"STATEN ISLAND",10310,"19",1
5002010046,"STATEN ISLAND",10310,"15",2
5002010046,"STATEN ISLAND",10310,"16",1
5002010046,"STATEN ISLAND",10310,"19",1
5002010047,"STATEN ISLAND",10310,"15",1
5002020004,"STATEN ISLAND",10310,"16",1
5002020004,"STATEN ISLAND",10310,"18",1
5002020018,"STATEN ISLAND",10310,"17",1
5002020018,"STATEN ISLAND",10310,"18",1
5002020018,"STATEN ISLAND",10310,"20",2
5002030041,"STATEN ISLAND",10310,"14",1
5002030041,"STATEN ISLAND",10310,"16",1
5002030041,"STATEN ISLAND",10310,"17",1
5002030041,"STATEN ISLAND",10310,"18",1
5002040044,"STATEN ISLAND",10310,"19",1
5002050046,"STATEN ISLAND",10310,"19",1
5002070035,"STATEN ISLAND",10310,"16",1
5002070081,"STATEN ISLAND",10310,"15",1
5002080014,"STATEN ISLAND",10310,"21",1
5002080020,"STATEN ISLAND",10310,"21",5
5002080030,"STATEN ISLAND",10310,"19",1
5002090055,"STATEN ISLAND",10310,"14",1
5002090055,"STATEN ISLAND",10310,"17",1
5002090055,"STATEN ISLAND",10310,"20",2
5002100072,"STATEN ISLAND",10310,"20",2
5002110015,"STATEN ISLAND",10310,"16",3
5002110015,"STATEN ISLAND",10310,"18",1
5002110046,"STATEN ISLAND",10310,"15",1
5002110047,"STATEN ISLAND",10310,"14",1
5002110064,"STATEN ISLAND",10310,"19",1
5002110066,"STATEN ISLAND",10310,"20",4
5002110073,"STATEN ISLAND",10310,"20",2
5002120015,"STATEN ISLAND",10310,"16",1
5002120040,"STATEN ISLAND",10310,"21",1
5002120074,"STATEN ISLAND",10310,"16",1
5002120074,"STATEN ISLAND",10310,"21",1
5002120075,"STATEN ISLAND",10310,"21",3
5002120076,"STATEN ISLAND",10310,"21",1
5002150202,"STATEN ISLAND",10310,"17",1
5002150204,"STATEN ISLAND",10310,"20",1
5002150277,"STATEN ISLAND",10302,"19",1
5002160024,"STATEN ISLAND",10310,"19",1
5002160031,"STATEN ISLAND",10310,"19",1
