Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
FYB4975,TX,PAS,8571243347,07/11/2022,11:30A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVTVEJOZWswd1RuYzlQUT09&locationName=_____________________)
KWU7688,NY,PAS,8571243360,07/11/2022,11:39A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVTVEJOZWsweVRVRTlQUT09&locationName=_____________________)
1R31Y2,TN,PAS,8571243414,07/11/2022,11:50A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVTVEJOZWxGNFRrRTlQUT09&locationName=_____________________)
795P28,NV,PAS,8569137114,07/11/2022,08:51A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOVVSWHBPZWtWNFRrRTlQUT09&locationName=_____________________)
21932MK,NY,COM,8569290822,07/11/2022,12:58P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,019,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rOVVTVFZOUkdkNVRXYzlQUT09&locationName=_____________________)
A42PYB,NJ,PAS,8571394910,07/11/2022,01:24P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,071,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVUVFZPUkd0NFRVRTlQUT09&locationName=_____________________)
KLB5231,NY,PAS,8571395196,07/11/2022,09:21P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,068,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVUVFZPVkVVMVRtYzlQUT09&locationName=_____________________)
GKS1254,NY,PAS,8571431966,07/11/2022,01:12P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,066,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVVWHBOVkdzeVRtYzlQUT09&locationName=_____________________)
JAF4123,NY,PAS,8571243335,07/11/2022,11:27A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVTVEJOZWsxNlRsRTlQUT09&locationName=_____________________)
KWJ8213,NY,PAS,8571498477,07/11/2022,01:57P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,110,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVVVFZQUkZFelRuYzlQUT09&locationName=_____________________)
LRJ6016,PA,PAS,8571498489,07/11/2022,02:06P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,110,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVVVFZQUkZFMFQxRTlQUT09&locationName=_____________________)
EHK5929,NY,PAS,8571395147,07/11/2022,08:23P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,062,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVUVFZPVkVVd1RuYzlQUT09&locationName=_____________________)
EUJ3356,NY,PAS,8571498647,07/11/2022,08:15P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVVVFZQUkZrd1RuYzlQUT09&locationName=_____________________)
KSD4283,NY,PAS,8571982363,07/11/2022,09:53A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVhelJOYWsweVRYYzlQUT09&locationName=_____________________)
G62PLE,NJ,PAS,8571982510,07/11/2022,11:37A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVhelJOYWxWNFRVRTlQUT09&locationName=_____________________)
HKPH96,FL,PAS,8571982521,07/11/2022,11:42A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVhelJOYWxWNVRWRTlQUT09&locationName=_____________________)
GNL1505,NY,PAS,8571982600,07/11/2022,01:01P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVhelJOYWxsM1RVRTlQUT09&locationName=_____________________)
KRM7265,NY,PAS,8571982480,07/11/2022,10:43A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,040,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVhelJOYWxFMFRVRTlQUT09&locationName=_____________________)
S1180712,GA,PAS,8571982569,07/11/2022,12:41P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMVVhelJOYWxVeVQxRTlQUT09&locationName=_____________________)
N37NDG,NJ,PAS,8572144869,07/11/2022,01:43P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,088,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFSVEJPUkdjeVQxRTlQUT09&locationName=_____________________)
HUS4625,NY,PAS,8572586180,07/11/2022,08:24P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,103,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFWVFJPYWtVMFRVRTlQUT09&locationName=_____________________)
KGW8722,NY,PAS,8572693490,07/11/2022,02:52P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFXVFZOZWxFMVRVRTlQUT09&locationName=_____________________)
KPT3510,PA,PAS,8580444007,07/11/2022,01:16P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,006,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVVVEJPUkVGM1RuYzlQUT09&locationName=_____________________)
KRS2438,NY,PAS,8579126745,07/11/2022,10:54A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,020,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVSWGxPYW1Nd1RsRTlQUT09&locationName=_____________________)
P93PHF,NJ,PAS,8579126733,07/11/2022,10:40A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,024,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVSWGxPYW1ONlRYYzlQUT09&locationName=_____________________)
99947MJ,NY,COM,8580692210,07/11/2022,02:31P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVXVFZOYWtsNFRVRTlQUT09&locationName=_____________________)
AS44649,CT,PAS,8580692258,07/11/2022,02:53P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVXVFZOYWtreFQwRTlQUT09&locationName=_____________________)
KJH8380,NY,PAS,8580692416,07/11/2022,06:06P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVXVFZOYWxGNFRtYzlQUT09&locationName=_____________________)
KLA2570,NY,OMS,8580692570,07/11/2022,08:53P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVXVFZOYWxVelRVRTlQUT09&locationName=_____________________)
GMW6749,NY,PAS,8580692600,07/11/2022,09:00P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVXVFZOYWxsM1RVRTlQUT09&locationName=_____________________)
KUA5638,NY,PAS,8580692611,07/11/2022,09:07P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVXVFZOYWxsNFRWRTlQUT09&locationName=_____________________)
421174T,NJ,PAS,8579387656,07/11/2022,10:24A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,033,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVUVFJPZWxreFRtYzlQUT09&locationName=_____________________)
JLE5359,NY,PAS,8580032854,07/11/2022,12:43P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1jeFRrRTlQUT09&locationName=_____________________)
FJT1969,NY,PAS,8580190836,07/11/2022,08:30A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOUkdkNlRtYzlQUT09&locationName=_____________________)
80982MA,NY,COM,8580191178,07/11/2022,12:16P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOVkVVelQwRTlQUT09&locationName=_____________________)
JBB2231,NY,PAS,8579296730,07/11/2022,02:01P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,084,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVTVFZPYW1ONlRVRTlQUT09&locationName=_____________________)
44BG10,NY,LMB,8579296742,07/11/2022,02:03P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,084,K,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVTVFZPYW1Nd1RXYzlQUT09&locationName=_____________________)
KUP1256,NY,PAS,8579345789,07/11/2022,08:20A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,102,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVUVEJPVkdNMFQxRTlQUT09&locationName=_____________________)
JGW7338,NY,PAS,8579345923,07/11/2022,10:21A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVUVEJPVkd0NVRYYzlQUT09&locationName=_____________________)
JEL4840,NY,PAS,8579345959,07/11/2022,11:36A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,106,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVUVEJPVkdzeFQxRTlQUT09&locationName=_____________________)
S1127976,GA,PAS,8579387607,07/11/2022,10:06A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,033,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVUVFJPZWxsM1RuYzlQUT09&locationName=_____________________)
76918MJ,NY,COM,8579888335,07/11/2022,04:55P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,102,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVaelJQUkUxNlRsRTlQUT09&locationName=_____________________)
FZM2032,NY,PAS,8579928801,07/11/2022,01:48P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOVVhM2xQUkdkM1RWRTlQUT09&locationName=_____________________)
JRY3509,NY,PAS,8580032623,07/11/2022,11:16A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYWxsNVRYYzlQUT09&locationName=_____________________)
83430ML,NY,COM,8580032696,07/11/2022,11:47A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYWxrMVRtYzlQUT09&locationName=_____________________)
X71MMZ,NJ,PAS,8580032714,07/11/2022,11:56A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1ONFRrRTlQUT09&locationName=_____________________)
KXT1140,NY,PAS,8580032726,07/11/2022,11:58A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1ONVRtYzlQUT09&locationName=_____________________)
391984T,NJ,PAS,8580032738,07/11/2022,12:02P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1ONlQwRTlQUT09&locationName=_____________________)
KJK2262,NY,PAS,8580032787,07/11/2022,12:17P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1NMFRuYzlQUT09&locationName=_____________________)
84BD48,NY,LMB,8580032799,07/11/2022,12:20P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1NMVQxRTlQUT09&locationName=_____________________)
TXM5093,VA,PAS,8580032878,07/11/2022,12:49P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1jelQwRTlQUT09&locationName=_____________________)
AJ88158,AZ,PAS,8580032891,07/11/2022,02:31P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVRWHBOYW1jMVRWRTlQUT09&locationName=_____________________)
84802NB,NY,COM,8580191099,07/11/2022,11:31A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOVkVFMVQxRTlQUT09&locationName=_____________________)
C067787,CT,CMB,8580191130,07/11/2022,11:44A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOVkVWNlRVRTlQUT09&locationName=_____________________)
13938MK,NY,COM,8580191208,07/11/2022,01:12P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMUVSVFZOVkVsM1QwRTlQUT09&locationName=_____________________)
V34LMY,NJ,PAS,8581741320,07/11/2022,12:08P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVZekJOVkUxNVRVRTlQUT09&locationName=_____________________)
FRW7016,NY,PAS,8581944462,07/11/2022,06:46A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkZFeVRXYzlQUT09&locationName=_____________________)
HZJ2139,NY,PAS,8581741174,07/11/2022,08:54A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVZekJOVkVVelRrRTlQUT09&locationName=_____________________)
V54KSN,NJ,PAS,8581741393,07/11/2022,03:02P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,108,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVZekJOVkUwMVRYYzlQUT09&locationName=_____________________)
KLA6246,NY,PAS,8581944309,07/11/2022,05:45A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUxM1QxRTlQUT09&locationName=_____________________)
424562T,NJ,PAS,8581944310,07/11/2022,05:47A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUxNFRVRTlQUT09&locationName=_____________________)
VMF6792,VA,PAS,8581944334,07/11/2022,05:54A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUxNlRrRTlQUT09&locationName=_____________________)
756UFN,CT,PAS,8581944346,07/11/2022,05:57A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUwd1RtYzlQUT09&locationName=_____________________)
KMU9331,NY,PAS,8581944358,07/11/2022,06:01A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUweFQwRTlQUT09&locationName=_____________________)
JLK6524,NY,PAS,8581944360,07/11/2022,06:09A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUweVRVRTlQUT09&locationName=_____________________)
GMD6781,NY,PAS,8581944371,07/11/2022,06:12A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUwelRWRTlQUT09&locationName=_____________________)
KVX6087,NY,PAS,8581944383,07/11/2022,06:22A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkUwMFRYYzlQUT09&locationName=_____________________)
242367T,NJ,PAS,8581944425,07/11/2022,06:29A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkZGNVRsRTlQUT09&locationName=_____________________)
JMY2524,TX,PAS,8581944474,07/11/2022,06:48A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkZFelRrRTlQUT09&locationName=_____________________)
3EVZ63,MA,PAS,8581944516,07/11/2022,07:01A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkZWNFRtYzlQUT09&locationName=_____________________)
1A083X7,AL,PAS,8581944590,07/11/2022,09:59A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkZVMVRVRTlQUT09&locationName=_____________________)
KEJ9609,NY,PAS,8581944607,07/11/2022,10:02A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhekJPUkZsM1RuYzlQUT09&locationName=_____________________)
JBC9712,NY,PAS,8581993059,07/11/2022,04:55A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhelZOZWtFeFQxRTlQUT09&locationName=_____________________)
KEM6189,NY,PAS,8581993096,07/11/2022,05:04A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhelZOZWtFMVRtYzlQUT09&locationName=_____________________)
LDQZ48,FL,PAS,8581993102,07/11/2022,05:07A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhelZOZWtWM1RXYzlQUT09&locationName=_____________________)
091158T,NJ,PAS,8581993114,07/11/2022,05:10A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhelZOZWtWNFRrRTlQUT09&locationName=_____________________)
KLC4870,NY,PAS,8581993163,07/11/2022,05:27A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhelZOZWtVeVRYYzlQUT09&locationName=_____________________)
TRAPKING,NY,OMT,8581993175,07/11/2022,05:29A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,063,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMVVhelZOZWtVelRsRTlQUT09&locationName=_____________________)
XCHR13,NJ,PAS,8582089107,07/11/2022,10:41A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,020,NY,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFRVFJQVkVWM1RuYzlQUT09&locationName=_____________________)
92168NB,NY,COM,8582089144,07/11/2022,10:53A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,020,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFRVFJQVkVVd1RrRTlQUT09&locationName=_____________________)
XKPS58,NJ,PAS,8582789105,07/11/2022,01:29P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,028,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFZelJQVkVWM1RsRTlQUT09&locationName=_____________________)
BROSMECH,NY,SRF,8582338028,07/11/2022,08:13A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFUWHBQUkVGNVQwRTlQUT09&locationName=_____________________)
42185NA,NY,COM,8582477491,07/11/2022,08:23A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,006,NY,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFVVE5PZWxFMVRWRTlQUT09&locationName=_____________________)
1GFT54,MA,PAS,8582696802,07/11/2022,10:43A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFXVFZPYW1kM1RXYzlQUT09&locationName=_____________________)
KBW9716,NC,PAS,8582696814,07/11/2022,10:45A,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFXVFZPYW1kNFRrRTlQUT09&locationName=_____________________)
KRK4570,NY,PAS,8582696978,07/11/2022,12:12P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFXVFZPYW1zelQwRTlQUT09&locationName=_____________________)
KPG6617,NY,PAS,8582697016,07/11/2022,12:45P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,0.00,115.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMXFXVFZPZWtGNFRtYzlQUT09&locationName=_____________________)
