"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
14,"MANHATTAN","GREENWICH VILLAGE AND SOHO",31900,83618,3642691,0.381496806907604,0.00875726214493626
15,"MANHATTAN","GREENWICH VILLAGE AND SOHO",67000,82305,3642691,0.814045319239414,0.0183929957276091
16,"MANHATTAN","GREENWICH VILLAGE AND SOHO",37590.21852,88192,3642691,0.42623161420537,0.0103193541587799
17,"MANHATTAN","GREENWICH VILLAGE AND SOHO",35487.28813,85940,3642691,0.41293097661159,0.00974205282029137
18,"MANHATTAN","GREENWICH VILLAGE AND SOHO",27199.76636,82858,3642691,0.328269646382968,0.00746694308136485
19,"MANHATTAN","GREENWICH VILLAGE AND SOHO",45225,82461,3642691,0.548441081238404,0.0124152721161361
20,"MANHATTAN","GREENWICH VILLAGE AND SOHO",38786.53404,80762,3642691,0.4802572254278,0.0106477694759177
11,"BRONX","HIGH BRIDGE AND MORRISANIA",37479.66101,204821,7816430,0.182987393919569,0.00479498454025687
12,"BRONX","HIGH BRIDGE AND MORRISANIA",52755.31915,208247,7816430,0.253330512084208,0.00674928569052624
13,"BRONX","HIGH BRIDGE AND MORRISANIA",49655.55555,209723,7816430,0.23676733381651,0.00635271544042485
14,"BRONX","HIGH BRIDGE AND MORRISANIA",45610.16949,214807,7816430,0.212330927250974,0.00583516637262791
15,"BRONX","HIGH BRIDGE AND MORRISANIA",46050.84746,215615,7816430,0.21357905275607,0.00589154479218774
16,"BRONX","HIGH BRIDGE AND MORRISANIA",39516.12903,216289,7816430,0.182700595175899,0.0050555213863618
17,"BRONX","HIGH BRIDGE AND MORRISANIA",36338.51351,220890,7816430,0.164509545520395,0.00464899110079665
18,"BRONX","HIGH BRIDGE AND MORRISANIA",43627.11865,218094,7816430,0.200038142498189,0.00558146348780709
19,"BRONX","HIGH BRIDGE AND MORRISANIA",39543.26923,216305,7816430,0.182812552784263,0.00505899358530685
20,"BRONX","HIGH BRIDGE AND MORRISANIA",42750,214281,7816430,0.19950438909656,0.00546924874910925
11,"BRONX","HUNTS POINT AND MOTT HAVEN",40411.53846,133949,10631050,0.30169346885755,0.00380127442350473
12,"BRONX","HUNTS POINT AND MOTT HAVEN",34903.70371,135687,10631050,0.257236903387944,0.00328318498266869
