"BBL","Borough","Zip","Month","Year","count","Neighborhood"
3014980053,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3015020025,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015020057,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015040055,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3015080011,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3015080031,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3015080038,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3015080072,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3015090001,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3015100016,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015100022,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3015100057,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3015110048,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015130033,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015130035,"BROOKLYN",11233,"06","2010",2,"CENTRAL BROOKLYN"
3015130042,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3015140005,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015160043,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3015200056,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3015220001,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3015240106,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015250020,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3015250043,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3015280027,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015280027,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3015300115,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3015300115,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3015320045,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3015320045,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3015330162,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3015340023,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3015340054,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3015350014,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3015370150,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3015380059,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015390044,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3015390044,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3015400054,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015410001,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3015410002,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015410002,"BROOKLYN",11233,"09","2010",2,"CENTRAL BROOKLYN"
3015420005,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015420039,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015420044,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015420059,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015420059,"BROOKLYN",11233,"12","2010",2,"CENTRAL BROOKLYN"
3015510005,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
